model,fraction_num,fraction_den,component,order,separation,fit_role,observed,log_fit,log_plus_log2_fit
uniform,1,16,disorder,3072,384,training,0.06672240803,0.02994232105,0.04061639312
uniform,1,16,disorder,4096,512,training,0.08402684564,0.03473352427,0.05846859678
uniform,1,16,disorder,5120,640,heldout,0.08734177215,0.03844987021,0.07399049804
uniform,1,16,disorder,6144,768,heldout,0.02884615385,0.04148634594,0.08775889073
uniform,1,8,marginal,128,32,training,0.6310667056,0.6254643231,0.6275650199
uniform,1,8,marginal,256,64,training,0.6917349419,0.6895933834,0.6895246239
uniform,1,8,marginal,512,128,training,0.7302215243,0.7537224437,0.7525356624
uniform,1,8,marginal,768,192,training,0.7880146912,0.7912355392,0.7898821723
uniform,1,8,marginal,1024,256,training,0.825015783,0.817851504,0.8165981352
uniform,1,8,marginal,1536,384,training,0.8909126798,0.8553645995,0.8545596948
uniform,1,8,marginal,2048,512,training,0.8756131131,0.8819805643,0.8817120424
uniform,1,8,marginal,2560,640,training,0.8778696742,0.9026255105,0.9028977657
uniform,1,8,marginal,3072,768,training,0.920039019,0.9194936598,0.9202886517
uniform,1,8,marginal,4096,1024,training,0.9529530201,0.9461096246,0.9478773839
uniform,1,8,marginal,5120,1280,heldout,1.003718354,0.9667545708,0.9694015935
uniform,1,8,marginal,6144,1536,heldout,0.9650641026,0.9836227201,0.9870690429
uniform,1,8,conditional,128,32,training,0.6275018614,0.6317642994,0.6156872452
uniform,1,8,conditional,256,64,training,0.6908577957,0.691133346,0.6916595763
uniform,1,8,conditional,512,128,training,0.7275319864,0.7505023927,0.7595850689
uniform,1,8,conditional,768,192,training,0.8015802701,0.7852310587,0.7955886473
uniform,1,8,conditional,1024,256,training,0.7869580971,0.8098714393,0.8194637229
uniform,1,8,conditional,1536,384,training,0.8771974672,0.8446001053,0.8507602025
uniform,1,8,conditional,2048,512,training,0.8993868869,0.869240486,0.8712955383
uniform,1,8,conditional,2560,640,training,0.9393984962,0.88835305,0.8862694263
uniform,1,8,conditional,3072,768,training,0.8721237458,0.9039691519,0.8978849191
uniform,1,8,conditional,4096,1024,training,0.880738255,0.9286095326,0.9150805152
uniform,1,8,conditional,5120,1280,heldout,1.058148734,0.9477220967,0.9274638997
uniform,1,8,conditional,6144,1536,heldout,0.8945512821,0.9633381986,0.9369627972
uniform,1,8,disorder,128,32,training,0.003564844141,-0.00629997625,0.01187777472
uniform,1,8,disorder,256,64,training,0.000877146191,-0.0015399626,-0.002134952366
uniform,1,8,disorder,512,128,training,0.002689537908,0.003220051049,-0.007049406503
uniform,1,8,disorder,768,192,training,-0.01356557889,0.006004480537,-0.005706474991
uniform,1,8,disorder,1024,256,training,0.0380576859,0.007980064699,-0.002865587694
uniform,1,8,disorder,1536,384,training,0.01371521263,0.01076449419,0.003799492312
uniform,1,8,disorder,2048,512,training,-0.02377377377,0.01274007835,0.01041650406
uniform,1,8,disorder,2560,640,training,-0.06152882206,0.01427246047,0.01662833943
uniform,1,8,disorder,3072,768,training,0.04791527313,0.01552450784,0.02240373256
uniform,1,8,disorder,4096,1024,training,0.0722147651,0.017500092,0.03279686876
uniform,1,8,disorder,5120,1280,heldout,-0.05443037975,0.01903247412,0.0419376938
uniform,1,8,disorder,6144,1536,heldout,0.07051282051,0.02028452149,0.05010624575
uniform,1,4,marginal,128,64,training,0.6888363338,0.6950488676,0.6827695282
uniform,1,4,marginal,256,128,training,0.763164069,0.7568107257,0.7572126501
uniform,1,4,marginal,512,256,training,0.8127444689,0.8185725839,0.8255097542
