L,environment_id,environment_seed,exact_mean,mcmc_mean,mcmc_minus_exact_mean,estimated_mcmc_mean_standard_error,standardized_mean_error,zero_standard_error_inconsistent,exact_conditional_variance,mcmc_conditional_variance,mcmc_minus_exact_conditional_variance,extremal_start_gap,standardized_extremal_start_gap,minimum_chain_ess,minimum_pair_swap_acceptance,target_exchange_acceptance
2,33,10677147765490364327,0.006868521613031309,0.003,-0.0038685216130313086,0.002235172476118802,-1.7307485907077231,false,0.032718596856885274,0.012004002001000522,-0.02071459485588475,-0.002,0.4473927675310408,1000.5012521288069,0.7922857142857143,0.966
2,34,9534212328815086779,-4.623595853250895e-6,0.0,4.623595853250895e-6,0.0,NaN,true,1.9198940470588344e-5,0.0,-1.9198940470588344e-5,0.0,0.0,2000.0,0.8308571428571428,0.9777142857142858
2,35,10782817867709826067,1.6510565702299894e-5,0.0,-1.6510565702299894e-5,0.0,NaN,true,6.607686491638077e-5,0.0,-6.607686491638077e-5,0.0,0.0,2000.0,0.8168571428571428,0.9765714285714285
2,36,5542754731037126976,0.012271796116014644,0.015,0.0027282038839853556,0.0038666491291225124,0.7055731701739608,false,0.05073557679676127,0.06002801400700355,0.009292437210242276,-0.002,0.25862186265319026,2000.0,0.8902857142857142,0.9731428571428572
2,37,3550357535929245277,-0.06018524189047129,-0.056,0.004185241890471286,0.007790288203599915,0.537238389786051,false,0.247866614624416,0.23204402201100535,-0.015822592613410652,-0.011999999999999997,0.7701897340880638,1879.9540415853812,0.8705714285714286,0.9714285714285714
2,38,18063209220106296906,0.022903534154213256,0.002,-0.020903534154213255,0.01667315198150905,-1.2537242014824677,false,1.1336269416744718,1.1114037018509257,-0.022223239823546015,-0.048,1.4394398867482654,2000.0,0.9088571428571428,0.9565714285714285
2,39,9132535248702589307,0.00016604399660638536,0.0,-0.00016604399660638536,0.0,NaN,true,0.0006641494761744915,0.0,-0.0006641494761744915,0.0,0.0,2000.0,0.8265714285714286,0.9822857142857143
2,40,5101703214285295226,-0.004289080219575338,-0.005,-0.0007109197804246624,0.0022351729237353206,-0.31806030436186794,false,0.017139534872263884,0.02000800400200098,0.0028684691297370946,0.002,0.4473926779360073,2000.0,0.8454285714285714,0.9711428571428572
2,41,17500284358920036,-2.9397831680936864e-5,0.0,2.9397831680936864e-5,0.0,NaN,true,0.00011828942496799237,0.0,-0.00011828942496799237,0.0,0.0,2000.0,0.8185714285714286,0.9751428571428571
2,42,17136599440650597216,-0.10749168313726232,-0.10400000000000001,0.003491683137262308,0.010066909721243548,0.3468475663285263,false,0.41842858441973396,0.41617608804402173,-0.002252496375712232,-0.007999999999999993,0.39734139977028454,2000.0,0.8142857142857143,0.9728571428571429
2,43,1850636511557200465,-0.006973869847709091,-0.009000000000000001,-0.00202613015229091,0.002997330811905486,-0.6759781550448358,false,0.029328096300394124,0.03601600800400204,0.006687911703607913,-0.002,0.33363017389604466,2000.0,0.86,0.9808571428571429
2,44,17481876647769011678,-3.971012373762393,-3.955,0.01601237376239295,0.006787732770084499,2.35901652359741,false,0.11511022247617855,0.18007203601800925,0.0649618135418307,0.006000000000000227,0.44197379325567754,1860.4387146288552,0.8011428571428572,0.998
2,45,14392419666323957613,-0.015222702994112658,-0.015,0.00022270299411265848,0.005912781112999629,0.037664677561466235,false,0.17627507757612637,0.14006803401700843,-0.03620704355911794,0.002,0.16912515124252372,2000.0,0.898,0.9748571428571429
2,46,16484195785868656477,-0.035871204457612105,-0.03,0.005871204457612106,0.00581273549604431,1.010058768648184,false,0.15241441890776808,0.12803201600800396,-0.024382402899764122,0.008000000000000004,0.6881441625413863,2000.0,0.8874285714285715,0.9791428571428571
