distribution,distribution_params,L,log_L,log_log_L,observations,environments,walks_per_environment_min,walks_per_environment_max,mean_winding,annealed_variance,annealed_variance_se,quenched_variance,quenched_variance_se,environment_mean_variance,mean_exit_x_over_L,mean_exit_y_over_L,mean_raw_walk_length,mean_loop_erased_path_length,mean_runtime
gamma,"{""shape"":0.5}",32,3.4657359027997265,1.242924991852436,5000,500,10,10,-0.0216,2.4912316863372683,0.066334637359413,2.063511111111111,0.05537944775927768,0.634843126252505,-0.00985625,-0.010025,2020.461,100.2098,0.006623370020883158
gamma,"{""shape"":0.5}",64,4.1588830833596715,1.4252465486463906,5000,500,10,10,-0.0418,3.109874734946988,0.06938445523578914,2.5414444444444446,0.0564180589658222,0.8235999599198397,-0.027821875,-0.035834375,8350.6424,237.5288,0.028174435270694083
gamma,"{""shape"":0.5}",128,4.852030263919617,1.5793972284736488,5000,500,10,10,-0.0308,3.6909895579115783,0.09333820139372567,3.0173777777777784,0.0780623573632091,0.9765644889779558,-0.000934375,0.013565625,35507.698,570.1468,0.12626470719052013
gamma,"{""shape"":0.5}",256,5.545177444479562,1.7129286210981716,5000,500,10,10,-0.0234,4.342921024204839,0.10022192797882194,3.5811777777777776,0.08727475150028871,1.1212349098196392,0.024034375,0.04758125,144936.9348,1348.5828,0.5673283968684264
gamma,"{""shape"":0.5}",512,6.238324625039508,1.830711656754555,5000,500,10,10,-0.067,4.843879775955191,0.10803153993618644,4.047844444444444,0.09068661445394945,1.2022555110220439,-0.0014546875,0.012575,600930.6924,3217.7016,3.0768089975824577
gamma,"{""shape"":0.5}",1024,6.931471805599453,1.9360721724123813,5000,500,10,10,-0.008,5.432222444488897,0.1342609976632161,4.429600000000001,0.10941057068021548,1.4473907815631262,0.0020046875,-0.0178908203125,2.428280045e6,7670.2518,23.197881964713638
gamma,"{""shape"":0.5}",2048,7.6246189861593985,2.0313823522167063,500,100,5,5,-0.288,6.273603206412826,0.38660364433757705,5.257000000000001,0.3661877174953366,2.0762181818181817,-0.0238623046875,0.0095791015625,1.0141790628e7,18480.272,2.35011273817
gamma,"{""shape"":0.5}",4096,8.317766166719343,2.118393729206336,500,100,5,5,-0.19,5.849599198396791,0.4133174118423944,5.22,0.4078175468455857,1.6786868686868686,0.0176787109375,0.0187529296875,4.098319432e7,42129.132,7.125947105184001
gamma,"{""shape"":1.0}",32,3.4657359027997265,1.242924991852436,2000,200,10,10,-0.102,2.649920960480238,0.09642036329534154,2.4032222222222224,0.09439311476687148,0.48813668341708544,0.00609375,-0.03284375,1476.089,98.92,0.006316235910519026
gamma,"{""shape"":1.0}",64,4.1588830833596715,1.4252465486463906,2000,200,10,10,-0.018,2.9971745872936433,0.1051880933972906,2.688333333333334,0.09853876090129599,0.5790713567839196,0.0146953125,-0.0001015625,5800.915,233.316,0.021420120592403693
gamma,"{""shape"":1.0}",128,4.852030263919617,1.5793972284736488,2000,200,10,10,0.0375,3.7309592296148093,0.11774334213930049,3.3480555555555553,0.11107271635624233,0.7194409547738694,0.0186328125,-0.005765625,24218.016,552.473,0.100926572258526
gamma,"{""shape"":1.0}",256,5.545177444479562,1.7129286210981716,2000,200,10,10,-0.0245,4.032916208104053,0.1292414214313615,3.7882777777777776,0.13216558235600226,0.6245726130653266,0.00686328125,0.00858203125,97792.578,1349.118,0.44201817334932275
gamma,"{""shape"":1.0}",512,6.238324625039508,1.830711656754555,2000,200,10,10,-0.018,4.660006003001495,0.16607469863200414,4.210444444444445,0.16745333867688147,0.8726391959798994,0.0429794921875,-0.03189453125,385147.5115,3137.4665,2.34045979421027
gamma,"{""shape"":1.0}",1024,6.931471805599453,1.9360721724123813,2000,200,10,10,0.008,5.286579289644821,0.1875450143803225,4.698555555555554,0.16712401998058168,1.0605386934673366,0.00655517578125,0.05746728515625,1.596931931e6,7564.794,14.43129699915438
