distribution,distribution_params,variance_kind,L,variance,log_variance,log_log_L,log_variance_over_log_log_L
lognormal,"{""sigma"":1.0}",quenched,512,4.186799999999999,1.4319367189985914,1.830711656754555,0.7821749065262943
lognormal,"{""sigma"":1.0}",annealed,1024,5.30347973594719,1.6683631590731223,1.9360721724123813,0.861725705707712
lognormal,"{""sigma"":1.0}",quenched,1024,4.753555555555556,1.5588928760433942,1.9360721724123813,0.8051832458812654
lognormal,"{""sigma"":1.0}",annealed,2048,6.254184368737472,1.8332507387318309,2.0313823522167063,0.9024646378025938
lognormal,"{""sigma"":1.0}",quenched,2048,5.779000000000001,1.754230657335641,2.0313823522167063,0.8635649785090291
lognormal,"{""sigma"":1.0}",annealed,4096,6.603991983967935,1.8876743122424773,2.118393729206336,0.8910875661200628
lognormal,"{""sigma"":1.0}",quenched,4096,6.018,1.7947549782078533,2.118393729206336,0.8472244575989493
pareto,"{""alpha"":2.0}",annealed,16,1.9699477495499107,0.678007019327043,1.0197814405382262,0.6648552252227699
pareto,"{""alpha"":2.0}",quenched,16,1.8796444444444442,0.6310826336599056,1.0197814405382262,0.6188410659119558
pareto,"{""alpha"":2.0}",annealed,32,2.596823364672933,0.9542889152242086,1.242924991852436,0.767776753609203
pareto,"{""alpha"":2.0}",quenched,32,2.5210666666666666,0.9246820923887251,1.242924991852436,0.7439564723938757
pareto,"{""alpha"":2.0}",annealed,64,2.9575169433886783,1.0843500458104367,1.4252465486463906,0.7608157668161232
pareto,"{""alpha"":2.0}",quenched,64,2.873155555555555,1.0554109224769685,1.4252465486463906,0.7405111231311743
pareto,"{""alpha"":2.0}",annealed,128,3.606087577515506,1.2826234110961678,1.5793972284736488,0.812096784756114
pareto,"{""alpha"":2.0}",quenched,128,3.4368222222222222,1.2345472718346195,1.5793972284736488,0.781657235797294
pareto,"{""alpha"":2.0}",annealed,256,4.091487057411482,1.4089084876933553,1.7129286210981716,0.8225144179038198
pareto,"{""alpha"":2.0}",quenched,256,3.988377777777778,1.383384576243454,1.7129286210981716,0.8076136735671774
pareto,"{""alpha"":2.0}",annealed,512,4.89060948189638,1.5873169341446751,1.830711656754555,0.8670491217380651
pareto,"{""alpha"":2.0}",quenched,512,4.679422222222223,1.543174645518015,1.830711656754555,0.8429370293373895
pareto,"{""alpha"":2.0}",annealed,1024,5.296103060612122,1.6669712785307325,1.9360721724123813,0.8610067859472696
pareto,"{""alpha"":2.0}",quenched,1024,5.067777777777779,1.62290241338739,1.9360721724123813,0.8382447909290612
pareto,"{""alpha"":2.0}",annealed,2048,5.663050100200402,1.7339626340288579,2.0313823522167063,0.8535875248382979
pareto,"{""alpha"":2.0}",quenched,2048,5.276999999999999,1.6633577544235307,2.0313823522167063,0.818830464195194
pareto,"{""alpha"":2.0}",annealed,4096,6.485655310621243,1.869592862874627,2.118393729206336,0.8825521134709349
