model,fraction_num,fraction_den,order,separation,n,mean_1,mean_2,marginal,marginal_low,marginal_high,conditional,conditional_low,conditional_high,disorder,disorder_low,disorder_high
uniform,1,8,256,64,6000,-0.054,-0.05783333333,0.6917349419,0.6743537635,0.7091192129,0.6908577957,0.6666571512,0.7161010363,0.000877146191,-0.01706140885,0.01846850169
uniform,1,8,512,128,5000,-0.0602,-0.055,0.7302215243,0.7101161147,0.7505736372,0.7275319864,0.6987384497,0.7563616563,0.002689537908,-0.01793420284,0.02310655631
uniform,1,8,768,192,4000,-0.02575,-0.04125,0.7880146912,0.7637979628,0.8122390309,0.8015802701,0.7676743756,0.8352652226,-0.01356557889,-0.03784997656,0.01055845055
uniform,1,8,1024,256,3000,-0.04033333333,-0.065,0.825015783,0.7954196635,0.8537487107,0.7869580971,0.7477145159,0.8275539847,0.0380576859,0.006831749472,0.06777863177
uniform,1,8,1536,384,1600,-0.023125,-0.001875,0.8909126798,0.8489024781,0.9324229987,0.8771974672,0.8173760309,0.9396834105,0.01371521263,-0.02998204933,0.05817610616
uniform,1,8,2048,512,1000,-0.05,-0.055,0.8756131131,0.8218963463,0.9282159159,0.8993868869,0.820135035,0.9818054429,-0.02377377377,-0.08059309309,0.03301736737
uniform,1,8,2560,640,400,-0.055,-0.025,0.8778696742,0.7930904605,0.9637627663,0.9393984962,0.8084909931,1.077040492,-0.06152882206,-0.149893797,0.02550250627
uniform,1,8,3072,768,300,0.02333333333,-0.04666666667,0.920039019,0.8151491081,1.023061315,0.8721237458,0.7357853958,1.013307135,0.04791527313,-0.051840301,0.1444155518
uniform,1,8,4096,1024,150,-0.18,-0.12,0.9529530201,0.8105771812,1.090920582,0.880738255,0.6911856823,1.075823266,0.0722147651,-0.07686800895,0.2173668904
uniform,1,8,5120,1280,80,-0.2125,0.1,1.003718354,0.7774465981,1.234100079,1.058148734,0.7591772152,1.373340585,-0.05443037975,-0.2500079114,0.1452610759
uniform,1,8,6144,1536,40,-0.25,0.175,0.9650641026,0.7189102564,1.176282051,0.8945512821,0.6022435897,1.171474359,0.07051282051,-0.1551282051,0.3
uniform,1,4,32,16,6000,-0.1133333333,-0.1256666667,0.5436056565,0.5308534936,0.5561765412,0.5525160304,0.5335351159,0.5714119579,-0.008910373951,-0.02264302175,0.005123667139
uniform,1,4,64,32,6000,-0.1071666667,-0.09783333333,0.6157412624,0.6011160968,0.6304850218,0.6163925099,0.5940969981,0.6381117912,-0.0006512474301,-0.01614488109,0.01494030672
uniform,1,4,128,64,6000,-0.0905,-0.1001666667,0.6888363338,0.6718955465,0.7057345749,0.7027370673,0.6775117454,0.7280200895,-0.01390073346,-0.03153765003,0.003956755293
uniform,1,4,256,128,6000,-0.1105,-0.096,0.763164069,0.7442381373,0.782325607,0.7662725871,0.7395854754,0.7923626809,-0.003108518086,-0.02192202242,0.0154850864
uniform,1,4,512,256,5000,-0.0796,-0.11,0.8127444689,0.7901380596,0.8351445824,0.80969986,0.7779487097,0.8414416208,0.003044608922,-0.020169987,0.02625103421
uniform,1,4,768,384,4000,-0.102,-0.117,0.8346621655,0.8080988099,0.8603416651,0.8430982746,0.8064482144,0.8802206419,-0.008436109027,-0.03355553107,0.01724170418
uniform,1,4,1024,512,3000,-0.1283333333,-0.1086666667,0.8829887185,0.8514055685,0.9132416542,0.8742646993,0.8298252362,0.9175581763,0.008724019117,-0.02231059242,0.04001117039
uniform,1,4,1536,768,1600,-0.093125,-0.073125,0.9248182458,0.8794139013,0.9708386345,0.9003627267,0.8377413227,0.9640360381,0.02445551907,-0.02070852877,0.06817030175
uniform,1,4,2048,1024,1000,-0.098,-0.111,0.977515015,0.9199948699,1.035584272,0.9954109109,0.9153010636,1.07591763,-0.0178958959,-0.07582855355,0.04096176176
uniform,1,4,2560,1280,400,-0.045,0.0325,0.9571021303,0.8661485746,1.045286028,0.9230545113,0.8009737625,1.04483396,0.03404761905,-0.05814786967,0.1270195802
uniform,1,4,3072,1536,300,-0.1833333333,-0.19,1.031917503,0.9142396878,1.151965022,1.020044593,0.8614430045,1.183143813,0.0118729097,-0.102787068,0.1280981048
uniform,1,4,4096,2048,150,-0.18,-0.1066666667,0.9343400447,0.7876935123,1.078413311,0.9536689038,0.7663422819,1.143266219,-0.01932885906,-0.1503378076,0.1095324385
uniform,1,4,5120,2560,80,-0.125,-0.25,1.150316456,0.8854390823,1.411637658,1.068037975,0.7018196203,1.473987342,0.08227848101,-0.1690031646,0.3057041139
uniform,1,4,6144,3072,40,-0.175,0,0.8689102564,0.6121794872,1.094895833,0.7407051282,0.441025641,1.03974359,0.1282051282,-0.09935897436,0.3461538462
