distribution,distribution_params,L,log_L,log_log_L,observations,environments,walks_per_environment_min,walks_per_environment_max,mean_winding,annealed_variance,annealed_variance_se,quenched_variance,quenched_variance_se,environment_mean_variance,mean_exit_x_over_L,mean_exit_y_over_L,mean_raw_walk_length,mean_loop_erased_path_length,mean_runtime
gamma,"{""shape"":1.0}",4096,8.317766166719343,2.118393729206336,500,500,1,1,-0.106,7.269302605210418,0.46979172148555604,NaN,NaN,7.26930260521042,-0.0287373046875,-0.00251025390625,2.5308464654e7,43193.01,34.6737819239999
gamma,"{""shape"":1.0}",8192,9.010913347279288,2.1984364368798723,500,500,1,1,0.114,7.407819639278558,0.44292499682468245,NaN,NaN,7.407819639278556,0.041123291015625,0.044295166015625,1.05929593428e8,101309.7,424.4996070380008
gamma,"{""shape"":2.0}",16,2.772588722239781,1.0197814405382262,5000,5000,1,1,0.0032,1.9483794358871755,0.043862832562738596,NaN,NaN,1.9483794358871755,0.017075,0.0107125,324.6222,40.9014,7.769720022333785e-5
gamma,"{""shape"":2.0}",32,3.4657359027997265,1.242924991852436,2000,2000,1,1,0.025,2.373561780890447,0.07699204376539327,NaN,NaN,2.373561780890447,-0.01840625,-0.021375,1298.257,96.986,0.0003016315002751071
gamma,"{""shape"":2.0}",64,4.1588830833596715,1.4252465486463906,2000,2000,1,1,0.025,3.044897448724365,0.10135730825708271,NaN,NaN,3.044897448724365,0.0011171875,-0.0036796875,5211.428,231.067,0.0014126884998986497
gamma,"{""shape"":2.0}",128,4.852030263919617,1.5793972284736488,2000,2000,1,1,-0.0615,3.8406380690345148,0.12401797182983769,NaN,NaN,3.8406380690345143,-0.00575,0.00133203125,21214.6555,560.3655,0.0070006025000475345
gamma,"{""shape"":2.0}",256,5.545177444479562,1.7129286210981716,2000,2000,1,1,0.0715,4.207491495747878,0.13151313355434324,NaN,NaN,4.207491495747878,-0.00725,0.050779296875,86303.0625,1321.5705,0.02344416499993531
gamma,"{""shape"":2.0}",512,6.238324625039508,1.830711656754555,2000,2000,1,1,-0.068,4.699725862931467,0.14981821080964192,NaN,NaN,4.699725862931466,-0.003603515625,-0.028787109375,341724.608,3191.433,0.08174240899953293
gamma,"{""shape"":2.0}",1024,6.931471805599453,1.9360721724123813,2000,2000,1,1,-0.058,5.384328164082041,0.17594429378637172,NaN,NaN,5.384328164082041,-0.002775390625,-0.00334814453125,1.3933838105e6,7639.0835,0.316747246499639
gamma,"{""shape"":2.0}",2048,7.6246189861593985,2.0313823522167063,500,500,1,1,0.16,6.298997995991984,0.3990925725128701,NaN,NaN,6.298997995991984,0.003365234375,0.022134765625,5.48303216e6,17954.116,1.231368469999521
gamma,"{""shape"":2.0}",4096,8.317766166719343,2.118393729206336,500,500,1,1,0.024,6.921266533066138,0.422090169469732,NaN,NaN,6.9212665330661345,0.01543115234375,-0.041765625,2.3569081046e7,42711.154,3.7926615639996015
inverse_gamma,"{""alpha"":2.2}",16,2.772588722239781,1.0197814405382262,5000,5000,1,1,0.0222,2.005708301660333,0.04431955520678899,NaN,NaN,2.005708301660333,0.0091875,0.011775,336.703,41.6034,6.215179994469509e-5
inverse_gamma,"{""alpha"":2.2}",32,3.4657359027997265,1.242924991852436,2000,2000,1,1,0.033,2.495158579289647,0.08412211674076789,NaN,NaN,2.4951585792896456,-0.001140625,0.01015625,1311.7665,98.8135,0.00024586249943240544
inverse_gamma,"{""alpha"":2.2}",64,4.1588830833596715,1.4252465486463906,2000,2000,1,1,0.0045,3.2611103051525756,0.10291243189544792,NaN,NaN,3.2611103051525756,0.0121640625,-0.0193203125,5431.609,236.136,0.0011589875004137866
inverse_gamma,"{""alpha"":2.2}",128,4.852030263919617,1.5793972284736488,2000,2000,1,1,0.0305,3.55834892446223,0.11640361899540727,NaN,NaN,3.55834892446223,0.0105,-0.00398046875,21792.8385,563.4695,0.004518873500812333
inverse_gamma,"{""alpha"":2.2}",256,5.545177444479562,1.7129286210981716,2000,2000,1,1,0.0005,4.153576538269136,0.13528602552662636,NaN,NaN,4.153576538269135,0.008828125,0.033998046875,86705.9265,1332.6465,0.017957437000615754
inverse_gamma,"{""alpha"":2.2}",512,6.238324625039508,1.830711656754555,2000,2000,1,1,-0.014,4.903255627813906,0.1552969621436962,NaN,NaN,4.9032556278139054,-0.000564453125,-0.004765625,338955.654,3128.834,0.07811446800033446
inverse_gamma,"{""alpha"":2.2}",1024,6.931471805599453,1.9360721724123813,2000,2000,1,1,0.0305,5.332235867933967,0.17530547341323569,NaN,NaN,5.332235867933967,-0.01884765625,0.01751123046875,1.3823074835e6,7557.5415,0.27179388799972365
inverse_gamma,"{""alpha"":2.2}",2048,7.6246189861593985,2.0313823522167063,500,500,1,1,-0.04,5.485370741482967,0.313302182843593,NaN,NaN,5.485370741482966,0.0120869140625,-0.0284931640625,5.412006876e6,17578.38,0.9690867360010743
inverse_gamma,"{""alpha"":2.2}",4096,8.317766166719343,2.118393729206336,500,500,1,1,0.078,6.2724609218436855,0.4158889858691957,NaN,NaN,6.2724609218436855,0.0219560546875,-0.00570068359375,2.185602801e7,42191.594,3.8183106960008155
lognormal,"{""sigma"":0.5}",16,2.772588722239781,1.0197814405382262,5000,5000,1,1,-0.0074,1.9309314262852577,0.042699335251328636,NaN,NaN,1.9309314262852573,-0.0044375,-0.0050125,306.5836,40.8444,0.00014804420029977336
lognormal,"{""sigma"":0.5}",32,3.4657359027997265,1.242924991852436,2000,2000,1,1,-0.02,2.4778389194597303,0.08797153165566442,NaN,NaN,2.4778389194597303,0.006890625,-0.021171875,1267.545,98.146,0.00041689099950599484
lognormal,"{""sigma"":0.5}",64,4.1588830833596715,1.4252465486463906,2000,2000,1,1,-0.0105,3.1609702351175586,0.09866016317082524,NaN,NaN,3.160970235117558,-0.016828125,-0.0091171875,4863.8365,233.4835,0.0017209949997195508
lognormal,"{""sigma"":0.5}",128,4.852030263919617,1.5793972284736488,2000,2000,1,1,-0.0275,3.837662581290643,0.13185452179743443,NaN,NaN,3.837662581290642,-0.0042890625,0.0156875,20451.101,553.742,0.008837217499822145
lognormal,"{""sigma"":0.5}",256,5.545177444479562,1.7129286210981716,2000,2000,1,1,0.0495,4.128113806903452,0.13263659293111973,NaN,NaN,4.128113806903453,0.005625,0.01991796875,80144.367,1325.147,0.03440007099992363
lognormal,"{""sigma"":0.5}",512,6.238324625039508,1.830711656754555,2000,2000,1,1,-0.052,4.75767483741871,0.15430313652875802,NaN,NaN,4.757674837418709,0.0269814453125,-0.02678125,323336.3305,3129.2305,0.10967463899884024
