L,model,k,sample_index,seed,raw_steps,lerw_steps,winding,hit_x,hit_y,environment_sites
64,gamma,1.0,21,532631724223307594,1914,206,-1,64,38,676
64,gamma,1.0,22,3507595556320748814,908,160,2,38,64,385
64,gamma,1.0,23,8331245781827504022,861,163,0,29,64,363
64,gamma,1.0,24,2157115384189318429,671,217,-1,27,64,351
64,gamma,1.0,25,610951139734861591,913,225,1,55,64,402
64,gamma,1.0,26,5560090317004474625,1003,165,-1,64,37,381
64,gamma,1.0,27,341634602594100215,1726,188,0,52,64,563
64,gamma,1.0,28,5093817965319504356,913,173,0,61,64,386
64,gamma,1.0,29,3573988352454985763,1423,187,-1,64,41,542
64,gamma,1.0,30,2031065341924983952,1034,220,0,16,64,455
64,gamma,1.0,31,7062161530873468673,856,178,-2,64,14,349
64,gamma,1.0,32,3479880532149759197,618,198,-3,64,36,313
64,gamma,1.0,33,6292659547218786231,972,136,0,12,64,311
64,gamma,1.0,34,1820734154759518770,1167,189,-1,64,47,461
64,gamma,1.0,35,5823081783530595844,627,121,-1,64,11,251
64,gamma,1.0,36,1651474198193760721,1148,162,-1,64,10,404
64,gamma,1.0,37,6850060654573278910,737,187,-1,64,35,364
64,gamma,1.0,38,2534801604333271369,1054,188,0,64,8,470
64,gamma,1.0,39,3091131953630512899,924,140,1,18,64,283
64,gamma,1.0,40,5302230920641991461,905,157,2,39,64,366
64,gamma,1.0,41,2583062916903658652,461,139,0,64,31,268
64,gamma,1.0,42,6730532563923950164,1204,216,2,50,64,460
64,gamma,1.0,43,8784629539903288326,1555,161,2,17,64,568
64,gamma,1.0,44,7189584690582500390,1075,205,0,51,64,456
64,gamma,1.0,45,7591456385235891834,654,154,1,38,64,317
64,gamma,1.0,46,6389977332771100522,722,148,0,22,64,302
64,gamma,1.0,47,6601479147452271441,1931,193,-1,64,61,484
64,gamma,1.0,48,3972100052442384016,1055,171,2,43,64,443
64,gamma,1.0,49,8253801762075220861,870,222,0,54,64,408
64,gamma,1.0,50,6824338651675898667,920,228,-1,64,42,442
64,gamma,1.0,51,7301970887199099862,1170,206,0,64,-2,413
64,gamma,1.0,52,8971930919742142945,1167,137,-1,64,33,467
64,gamma,1.0,53,6956963868416049317,1391,255,1,59,64,575
64,gamma,1.0,54,540838238436717983,843,171,0,45,64,366
64,gamma,1.0,55,5344037471438813550,1932,266,0,46,64,630
64,gamma,1.0,56,4988878303000043538,717,181,-1,64,41,310
64,gamma,1.0,57,4240220548604951825,1314,218,3,-26,64,476
64,gamma,1.0,58,2733523013203510007,589,117,0,7,64,248
64,gamma,1.0,59,1266739023310058345,1001,141,0,64,39,386
64,gamma,1.0,60,7488724431204221204,701,151,-1,17,64,316
64,gamma,1.0,61,2515936191198664501,1450,238,0,64,30,588
64,gamma,1.0,62,6793546297220204711,725,149,0,47,64,318
64,gamma,1.0,63,2624305963536918424,818,202,2,26,64,370
64,gamma,1.0,64,443126486865204951,1439,203,-1,64,21,534
64,gamma,1.0,65,8730992173540452663,408,120,1,64,26,197
64,gamma,1.0,66,2682333719357653831,888,214,0,38,64,399
64,gamma,1.0,67,6764992654988300640,1188,172,-3,8,64,468
64,gamma,1.0,68,5133393276429944478,756,198,1,56,64,376
64,gamma,1.0,69,6881183928690009407,532,148,0,64,14,276
64,gamma,1.0,70,7005502346057657154,1083,191,0,64,41,372
64,gamma,1.0,71,3741222366972380830,1227,205,-3,51,64,432
64,gamma,1.0,72,6445287008664201582,714,164,1,28,64,314
64,gamma,1.0,73,1631132734547820467,528,158,0,46,64,281
64,gamma,1.0,74,132590972674372248,817,149,1,64,39,339
64,gamma,1.0,75,274262471231862759,586,136,0,64,18,246
